Name		Catagory	Type	ConstValue	Offset	ArraySize	FuncParamNum	LeafFunc
gc_x		Const		int		0			0		0			0				true
gc_c1		Const		char	'a'			0		0			0				true
gc_c2		Const		char	'z'			0		0			0				true
g_x			Var			int		0			0		0			0				true
g_y			Array		int		0			0		5			0				true
_str0		String		int		 = 			0		0			0				true
_str1		String		int		good!\n			0		0			0				true
add			Func		int		0			0		0			2				true
a			Param		int		0			4		0			0				true
b			Param		int		0			8		0			0				true
t			Var			int		0			-8		0			0				true
fun			Func		char	0			0		0			0				true
empty		Func		void	0			0		0			0				true
output		Func		void	0			0		0			2				true
n			Param		int		0			4		0			0				true
c			Param		char	0			8		0			0				true
main		Func		void	0			0		0			0				false
i			Var			int		0			-8		0			0				true
s			Var			int		0			-12		0			0				true
